molecule_chembl_id,pIC50_mean,pIC50_median,pIC50_std,pIC50_min,pIC50_max,measurement_count,pIC50_range,canonical_smiles,assay_count,document_count
CHEMBL4650365,7.904756603714657,8.67778070526608,1.8168243103686499,4.657577319177793,8.823908740944319,5,4.166331421766525,C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(NC3CN(CCCF)C3)cn2)N1CC(F)(F)F,2,2
CHEMBL4443524,5.6058727640142765,5.161150909262744,1.0663914568656283,4.6777807052660805,7.42021640338319,5,2.7424356981171094,CNC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,5,5
CHEMBL633,5.704575749056067,5.0,1.104850921233007,5.0,7.522878745280337,5,2.5228787452803374,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,5,5
CHEMBL1200749,4.080676192346379,4.080921907623926,0.8295516889106691,2.994390554639719,4.886056647693163,5,1.891666093053444,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl,5,1
CHEMBL535,5.860411554746841,6.301029995663981,0.7506347980590099,5.0,6.599997654072045,5,1.5999976540720446,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,5,3
CHEMBL1200396,3.9627879939229773,4.022276394711152,0.6574446579543728,3.062482107982653,4.657577319177793,5,1.5950952111951402,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,5,1
CHEMBL38827,5.889121235833801,6.42021640338319,0.7288047237078468,5.089999741487069,6.423658649794207,5,1.3336589083071386,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,5,5
CHEMBL505,4.935721484728483,4.68000002720016,0.5718105623386553,4.68000002720016,5.958607314841775,5,1.2786072876416146,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,5,5
CHEMBL5768419,5.4870013549621,5.694648630553376,0.5026123922861713,4.924088238517222,6.070581074285707,5,1.146492835768485,CCn1c(N2CCNC(=O)C2)nc2c([N+](=O)[O-])c(Br)c(Br)cc21,1,1
CHEMBL4861332,5.451833010993979,5.619788758288394,0.4914681066223677,4.958607314841775,6.102372908709558,5,1.1437655938677835,CC[C@@H](NC(=O)c1ccc(Cl)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,5,1
CHEMBL2441437,5.349621277463498,5.346787486224656,0.3535746836935197,4.853871964321762,5.853871964321762,5,1.0,O=C1OCc2cc(CCN3CCN(C(=O)Cc4ccc(-n5cnnn5)cc4)CC3)ccc21,5,4
CHEMBL517,4.216163765783327,4.040000018741066,0.3939141135575751,4.040000018741066,4.920818753952375,5,0.8808187352113093,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,5,5
CHEMBL1112,5.824393051855639,6.047449706101798,0.38029777814528304,5.413412695328245,6.199998172182031,5,0.7865854768537863,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,5,5
CHEMBL4518483,5.317235759750627,5.366531544420413,0.20292482113680888,5.031517051446064,5.585026652029182,5,0.5535096005831175,N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,5,5
CHEMBL1000,4.405315215443264,4.519999959791458,0.24541539069504476,3.9665762445130506,4.519999959791458,5,0.5534237152784076,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,5,5
CHEMBL3305005,6.008459391690233,6.221848749616356,0.2922914336618759,5.6777807052660805,6.221848749616356,5,0.5440680443502757,COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5,3
CHEMBL46,6.1515882223632214,6.090000275786018,0.13771483514125357,6.090000275786018,6.3979400086720375,5,0.3079397328860196,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,5,5
CHEMBL533,7.903768825834393,8.0,0.13852995595413306,7.698970004336019,8.0,5,0.30102999566398125,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,5,5
CHEMBL1741,4.301448419542612,4.229999967073058,0.11008691279812201,4.229999967073058,4.480000028175458,5,0.2500000611023996,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,5,4
CHEMBL1088,6.446971492039927,6.4900049079866005,0.10460148331391478,6.260000690598032,6.499996931948306,5,0.23999624135027453,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,5,5
CHEMBL779,4.0000000046107935,4.0,0.07071068339248483,3.900000004068662,4.100000018985305,5,0.2000000149166432,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,5,3
CHEMBL2441417,4.773804661678876,4.698970004336019,0.10247157477463201,4.698970004336019,4.886056647693163,5,0.1870866433571443,Cc1c(CCN2CCN(C(=O)Cc3ccc(-n4cnnn4)cc3)CC2)ccc2c1COC2=O,5,3
CHEMBL1110,5.520624160872158,5.489999539566098,0.06580076211059417,5.489999539566098,5.638272163982407,5,0.14827262441630928,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,5,5
CHEMBL1621,5.915210666191469,5.899998417198648,0.04779539274686071,5.886056647693163,6.0,5,0.11394335230683694,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,5,3
CHEMBL356066,4.972458254100912,4.987162775294828,0.03288030896618134,4.913640169325252,4.987162775294828,5,0.07352260596957638,O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,5,3
CHEMBL289469,5.423658558830387,5.420000452721522,0.005045383112492617,5.420000452721522,5.430000267796055,5,0.009999815074532847,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,5,5
CHEMBL8,3.0190045732694606,3.0199999981906993,0.002225837790386542,3.015022873584507,3.0199999981906993,5,0.0049771246061922625,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,5,5
CHEMBL4,2.8495423322604276,2.8500000014212983,0.0010233793549127522,2.8477116556169433,2.8500000014212983,5,0.0022883458043549965,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,5,5
CHEMBL157101,5.720249410720571,5.720000163638921,0.0005573334177628784,5.720000163638921,5.721246399047171,5,0.0012462354082503069,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,5,5
CHEMBL244946,5.700000503883016,5.700000503883016,0.0,5.700000503883016,5.700000503883016,5,0.0,Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6cc(C)nn6C)cc5CC4)n3C)cccc2n1,5,5
CHEMBL475534,5.0,5.0,0.0,5.0,5.0,5,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,5,5
