molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pIC50,pchembl_value,assay_chembl_id,document_chembl_id,target_chembl_id,target_pref_name,target_organism,assay_type,activity_comment
CHEMBL6016292,Clc1ccc(-n2c(-c3ccc(N4CCOCC4)nn3)nc3ccncc32)cc1,IC50,=,5500.0,nM,5.259637310505756,5.26,CHEMBL5734464,CHEMBL5727342,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,830399
CHEMBL6016292,Clc1ccc(-n2c(-c3ccc(N4CCOCC4)nn3)nc3ccncc32)cc1,IC50,=,5500.0,nM,5.259637310505756,5.26,CHEMBL5734466,CHEMBL5727343,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,830612
CHEMBL6016292,Clc1ccc(-n2c(-c3ccc(N4CCOCC4)nn3)nc3ccncc32)cc1,IC50,=,5500.0,nM,5.259637310505756,5.26,CHEMBL5735756,CHEMBL5727959,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,955326
CHEMBL6018540,COCC(C)(F)CN1[C@H](c2ccc(NC3CN(CCCF)C3)cc2OC)c2ccc3[nH]ncc3c2C[C@H]1C,IC50,=,6.9,nM,8.161150909262744,8.16,CHEMBL5735025,CHEMBL5727624,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,887398
CHEMBL6018540,COCC(C)(F)CN1[C@H](c2ccc(NC3CN(CCCF)C3)cc2OC)c2ccc3[nH]ncc3c2C[C@H]1C,IC50,=,17000.0,nM,4.769551078621726,4.77,CHEMBL5731674,CHEMBL5725903,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,576010
CHEMBL6020463,Nc1cc(-c2cc3ccncc3n2-c2ccc(Cl)cc2)ccn1,IC50,=,5500.0,nM,5.259637310505756,5.26,CHEMBL5734464,CHEMBL5727342,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,830452
CHEMBL6020463,Nc1cc(-c2cc3ccncc3n2-c2ccc(Cl)cc2)ccn1,IC50,=,5500.0,nM,5.259637310505756,5.26,CHEMBL5734466,CHEMBL5727343,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,830665
CHEMBL6020463,Nc1cc(-c2cc3ccncc3n2-c2ccc(Cl)cc2)ccn1,IC50,=,5500.0,nM,5.259637310505756,5.26,CHEMBL5735756,CHEMBL5727959,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,955379
CHEMBL6021270,COc1nnc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)F,IC50,=,19000.0,nM,4.721246399047171,4.72,CHEMBL5733101,CHEMBL5726655,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,714883
CHEMBL6021270,COc1nnc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)F,IC50,=,19000.0,nM,4.721246399047171,4.72,CHEMBL5735028,CHEMBL5727625,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,887778
CHEMBL6021270,COc1nnc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)F,IC50,=,19000.0,nM,4.721246399047171,4.72,CHEMBL5737036,CHEMBL5728574,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,1062303
CHEMBL6021933,CCc1nccn1Cc1cn(-c2cccc(OC(F)(F)F)c2)nn1,IC50,=,11.4,nM,7.943095148663527,7.94,CHEMBL5733977,CHEMBL5727077,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,793020
CHEMBL6021933,CCc1nccn1Cc1cn(-c2cccc(OC(F)(F)F)c2)nn1,IC50,=,11.4,nM,7.943095148663527,7.94,CHEMBL5734036,CHEMBL5727110,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,796422
CHEMBL6024609,Cc1cc(-n2cc(Cn3ccnc3C3CC3)nn2)ccc1Cl,IC50,=,12.4,nM,7.906578314837764,7.91,CHEMBL5733977,CHEMBL5727077,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,793013
CHEMBL6024609,Cc1cc(-n2cc(Cn3ccnc3C3CC3)nn2)ccc1Cl,IC50,=,12.4,nM,7.906578314837764,7.91,CHEMBL5734036,CHEMBL5727110,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,796415
CHEMBL6025725,Cc1ccc(C(F)(F)CN2CCC(Nc3ncnc4[nH]ccc34)CC2)cn1,IC50,=,28000.0,nM,4.552841968657781,4.55,CHEMBL5731381,CHEMBL5725728,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,548534
CHEMBL6025725,Cc1ccc(C(F)(F)CN2CCC(Nc3ncnc4[nH]ccc34)CC2)cn1,IC50,=,28000.0,nM,4.552841968657781,4.55,CHEMBL5733885,CHEMBL5727025,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,786588
CHEMBL6025725,Cc1ccc(C(F)(F)CN2CCC(Nc3ncnc4[nH]ccc34)CC2)cn1,IC50,=,28000.0,nM,4.552841968657781,4.55,CHEMBL5734394,CHEMBL5727305,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,825455
CHEMBL6026134,Cc1nccn1Cc1cn(-c2ccc(Cl)c(C(F)F)c2)nn1,IC50,=,3.37,nM,8.47237009912866,8.47,CHEMBL5733977,CHEMBL5727077,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,793037
CHEMBL6026134,Cc1nccn1Cc1cn(-c2ccc(Cl)c(C(F)F)c2)nn1,IC50,=,3.37,nM,8.47237009912866,8.47,CHEMBL5734036,CHEMBL5727110,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,796439
