molecule_chembl_id,canonical_smiles,median_pIC50,mean_pIC50,min_pIC50,max_pIC50,number_of_measurements,pIC50_std,pIC50_range,variability,unique_assays,unique_documents,min_IC50_nM,max_IC50_nM,MolWt,LogP,HBD,HBA,TPSA,RotatableBonds,RingCount,AromaticRings,FractionCSP3,HeavyAtomCount,FormalCharge,NumAtoms
CHEMBL356066,O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,4.987162775294828,4.972458254100912,4.913640169325252,4.987162775294828,5,0.0328803089661813,0.0735226059695763,Low,5,3,10300.0,12200.0,379.46000000000004,2.7235000000000005,4.0,4.0,88.59,9.0,3.0,3.0,0.22727272727272727,28.0,0.0,28.0
CHEMBL3577935,CCC[C@@H]1C[C@H](N(C)C(C)C)CC[C@@H]1NC(=O)CNC(=O)c1cccc(C(F)(F)F)c1,4.494850021680094,4.494850021680094,4.494850021680094,4.494850021680094,1,0.0,0.0,Low,1,1,32000.0,32000.0,441.53800000000007,4.229000000000002,2.0,3.0,61.440000000000005,8.0,2.0,1.0,0.6521739130434783,31.0,0.0,31.0
CHEMBL3577937,CCCC[C@@H]1C[C@H](N(C)C(C)C)CC[C@@H]1NC(=O)CNC(=O)c1cccc(C(F)(F)F)c1,6.443697499232712,6.443697499232712,6.443697499232712,6.443697499232712,1,0.0,0.0,Low,1,1,360.0,360.0,455.5650000000001,4.619100000000004,2.0,3.0,61.440000000000005,9.0,2.0,1.0,0.6666666666666666,32.0,0.0,32.0
CHEMBL3577939,CC(C)CC[C@@H]1C[C@H](N(C)C(C)C)CC[C@@H]1NC(=O)CNC(=O)c1cccc(C(F)(F)F)c1,5.568636235841012,5.568636235841012,5.568636235841012,5.568636235841012,1,0.0,0.0,Low,1,1,2700.0,2700.0,469.59200000000016,4.865100000000004,2.0,3.0,61.440000000000005,9.0,2.0,1.0,0.68,33.0,0.0,33.0
CHEMBL3577940,CC(C)N(C)[C@@H]1CC[C@H](NC(=O)CNC(=O)c2cccc(C(F)(F)F)c2)[C@H](CCc2ccccc2)C1,5.795880017344075,5.795880017344075,5.795880017344075,5.795880017344075,1,0.0,0.0,Low,1,1,1600.0,1600.0,503.6090000000002,5.061700000000005,2.0,3.0,61.440000000000005,9.0,3.0,2.0,0.5,36.0,0.0,36.0
CHEMBL3577941,CC(C)N(C)[C@@H]1CC[C@H](NC(=O)CNC(=O)c2cccc(C(F)(F)F)c2)[C@H](COc2ccccc2)C1,5.275724130399211,5.275724130399211,5.275724130399211,5.275724130399211,1,0.0,0.0,Low,1,1,5300.0,5300.0,505.5810000000002,4.507900000000004,2.0,4.0,70.67,9.0,3.0,2.0,0.48148148148148145,36.0,0.0,36.0
CHEMBL3577942,CCC[C@@H]1C[C@H](N(C)C(C)C)CC[C@@H]1N1CC[C@H](NC(=O)c2cc(C(F)(F)F)ccc2NC(=O)NCC)C1=O,4.853871964321762,4.853871964321762,4.853871964321762,4.853871964321762,1,0.0,0.0,Low,1,1,14000.0,14000.0,553.6700000000001,4.855100000000004,3.0,4.0,93.78,9.0,3.0,1.0,0.6785714285714286,39.0,0.0,39.0
CHEMBL3577945,CCC[C@@H]1C[C@H](N(C)C(C)C)CC[C@@H]1N1CC[C@H](Nc2ncnc3ccc(C(F)(F)F)cc23)C1=O,5.7447274948966935,5.7447274948966935,5.7447274948966935,5.7447274948966935,1,0.0,0.0,Low,1,1,1800.0,1800.0,491.6020000000001,5.339000000000006,1.0,5.0,61.36,7.0,4.0,2.0,0.6538461538461539,35.0,0.0,35.0
CHEMBL3580681,CCn1nc([C@]2(c3cnn(C)c3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)oc1=O,4.288192770958809,4.288192770958809,4.288192770958809,4.288192770958809,1,0.0,0.0,Low,1,1,51500.0,51500.0,525.5480000000002,3.174100000000001,3.0,7.0,135.24,5.0,7.0,6.0,0.2222222222222222,39.0,0.0,39.0
CHEMBL3580774,Cc1cn(-c2ccc3n(c2=O)CCN([C@@H](C)COc2ccc(F)cc2[C@@H](C)C(F)(F)F)C3=O)cn1,5.036212172654444,5.036212172654444,5.036212172654444,5.036212172654444,1,0.0,0.0,Low,1,1,9200.0,9200.0,492.47300000000007,4.0706200000000035,0.0,4.0,69.36000000000001,6.0,4.0,3.0,0.375,35.0,0.0,35.0
CHEMBL3581787,O=C(NCCCNc1nc2ccccc2[nH]1)c1cc(Cl)cc(Cl)c1,5.931814138253838,5.931814138253838,5.931814138253838,5.931814138253838,1,0.0,0.0,Low,1,1,1170.0,1170.0,363.24800000000005,4.101700000000003,3.0,3.0,69.81,6.0,3.0,3.0,0.17647058823529413,24.0,0.0,24.0
CHEMBL3581788,O=C(NCCCNc1nc2ccccc2[nH]1)c1ccnc(C(F)(F)F)c1,4.64994590642097,4.64994590642097,4.64994590642097,4.64994590642097,1,0.0,0.0,Low,1,1,22390.0,22390.0,363.3430000000001,3.208700000000001,3.0,4.0,82.7,6.0,3.0,3.0,0.23529411764705882,26.0,0.0,26.0
CHEMBL3582294,CNC(=O)c1ccc(-c2cc(F)c3ncc(Cc4ccc5ncccc5c4)n3c2)cc1F,4.028909786862885,4.028909786862885,4.028909786862885,4.028909786862885,1,0.0,0.0,Low,1,1,93560.0,93560.0,428.44200000000006,4.778100000000003,1.0,3.0,59.290000000000006,4.0,5.0,5.0,0.08,32.0,0.0,32.0
CHEMBL3582312,c1ccc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)C(C4CCCCC4)N3)n2)nc1,6.698970004336019,6.698970004336019,6.698970004336019,6.698970004336019,1,0.0,0.0,Low,1,1,200.0,200.0,397.5260000000002,5.461400000000004,3.0,3.0,69.39,3.0,6.0,4.0,0.36,30.0,0.0,30.0
CHEMBL3582313,c1cncc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)C(C4CCCCC4)N3)n2)c1,6.721246399047171,6.721246399047171,6.721246399047171,6.721246399047171,1,0.0,0.0,Low,1,1,190.0,190.0,397.52600000000024,5.461400000000004,3.0,3.0,69.39,3.0,6.0,4.0,0.36,30.0,0.0,30.0
CHEMBL3582314,c1ccc2c3c([nH]c2c1)C(C1CCCCC1)N[C@@H](c1nc(-c2ccncc2)c[nH]1)C3,7.045757490560675,7.045757490560675,7.045757490560675,7.045757490560675,1,0.0,0.0,Low,1,1,90.0,90.0,397.526,5.461400000000004,3.0,3.0,69.39,3.0,6.0,4.0,0.36,30.0,0.0,30.0
CHEMBL3582315,c1ccc2c3c([nH]c2c1)C(C1CCCCC1)N[C@@H](c1nc(-c2cnccn2)c[nH]1)C3,6.468521082957745,6.468521082957745,6.468521082957745,6.468521082957745,1,0.0,0.0,Low,1,1,340.0,340.0,398.514,4.8564000000000025,3.0,4.0,82.28,3.0,6.0,4.0,0.375,30.0,0.0,30.0
CHEMBL3582316,Fc1ccc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)C(C4CCCCC4)N3)n2)nc1,6.769551078621726,6.769551078621726,6.769551078621726,6.769551078621726,1,0.0,0.0,Low,1,1,170.0,170.0,415.51600000000025,5.600500000000004,3.0,3.0,69.39,3.0,6.0,4.0,0.36,31.0,0.0,31.0
CHEMBL3582317,Cc1nc([C@]2(c3cnn(C)c3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)no1,4.994578757133947,4.994629599382816,4.920818753952375,5.068542129310995,4,0.0852294633955885,0.1477233753586198,Low,4,2,8540.0,12000.0,495.5220000000002,3.695920000000002,3.0,7.0,126.13,4.0,7.0,6.0,0.19230769230769232,37.0,0.0,37.0
CHEMBL3582318,Cc1nc([C@]2(c3cn[nH]c3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)no1,5.376750709602099,5.376750709602099,5.376750709602099,5.376750709602099,1,0.0,0.0,Low,1,1,4200.0,4200.0,481.4950000000002,3.6855200000000012,4.0,7.0,136.99,4.0,7.0,6.0,0.16,36.0,0.0,36.0
CHEMBL3582319,CCn1cc([C@@]2(c3noc(C)n3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,5.136677139879544,5.136677139879544,5.136677139879544,5.136677139879544,1,0.0,0.0,Low,1,1,7300.0,7300.0,509.5490000000002,4.178820000000002,3.0,7.0,126.13000000000001,5.0,7.0,6.0,0.2222222222222222,38.0,0.0,38.0
