molecule_chembl_id,canonical_smiles,median_pIC50,mean_pIC50,min_pIC50,max_pIC50,number_of_measurements,pIC50_std,pIC50_range,variability,unique_assays,unique_documents,min_IC50_nM,max_IC50_nM
CHEMBL5838279,C[C@@H]1Cc2c(ccc3[nH]nc(F)c23)[C@@H](c2ccc(NC3CN(CCCF)C3)cn2)N1CC(F)(F)F,4.853871964321762,4.853871964321762,4.853871964321762,4.853871964321762,1,0.0,0.0,Low,1,1,14000.0,14000.0
CHEMBL583843,COc1ccccc1Oc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1ccc[nH]c1=O)CC2,5.27500018193707,5.27500018193707,4.849999859991125,5.700000503883016,2,0.6010412193088885,0.8500006438918914,Moderate,2,1,1995.26,14125.38
CHEMBL5838627,FC(F)c1cc(Cl)cc(-c2cnn(Cc3cc[nH]n3)c2)c1,6.195179321278838,6.195179321278838,6.195179321278838,6.195179321278838,1,0.0,0.0,Low,1,1,638.0,638.0
CHEMBL58387,Cc1ccnc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,6.2441251443275085,6.2441251443275085,6.2441251443275085,6.2441251443275085,1,0.0,0.0,Low,1,1,570.0,570.0
CHEMBL5838864,OCCc1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,8.645891560852599,8.645891560852599,8.645891560852599,8.645891560852599,2,0.0,0.0,Low,2,2,2.26,2.26
CHEMBL5838979,CNC[C@H](c1ccc(Br)c(Cl)c1)[C@@H](O)c1ccccc1,4.638272163982407,4.638272163982407,4.638272163982407,4.638272163982407,1,0.0,0.0,Low,1,1,23000.0,23000.0
CHEMBL5839468,CCc1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,8.332547047110046,8.332547047110046,8.332547047110046,8.332547047110046,2,0.0,0.0,Low,2,2,4.65,4.65
CHEMBL5839498,C[C@@H]1Cc2c([nH]c3cc(F)ccc23)[C@@H](c2c(F)ccc(OCCNCCCF)c2F)N1CC(F)(F)CO,5.568636235841012,5.568636235841012,5.568636235841012,5.568636235841012,3,0.0,0.0,Low,3,3,2700.0,2700.0
CHEMBL5839575,CNC[C@@H](c1ccc(Br)c(Cl)c1)[C@@H](O)c1ccccc1,5.167491087293763,5.167491087293763,5.167491087293763,5.167491087293763,1,0.0,0.0,Low,1,1,6800.0,6800.0
CHEMBL5839811,C[C@@H]1Cc2c(ccc3[nH]nc(F)c23)[C@@H](c2ccc(OC3CN(CCCF)C3)cn2)N1CC(F)(F)CO,9.05551732784983,9.05551732784983,9.05551732784983,9.05551732784983,1,0.0,0.0,Low,1,1,0.88,0.88
CHEMBL584,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,3.300000003143145,3.2333333817413012,1.5000000000231246,4.900000142057633,3,1.7009801792688595,3.400000142034508,High,3,1,12589.25,31622776.6
CHEMBL5840097,Cc1nc(CO)cn1CCN1CCC2(CC1)COC1c3ccc(Cl)cc3OC(C)(C)C1C2,5.958607314841775,5.958607314841775,5.958607314841775,5.958607314841775,1,0.0,0.0,Low,1,1,1100.0,1100.0
CHEMBL5840168,COc1nccc(OCC2(C)CNC2)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,6.3979400086720375,6.3979400086720375,6.3979400086720375,6.3979400086720375,1,0.0,0.0,Low,1,1,400.0,400.0
CHEMBL5840390,CC(C)(C)c1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,7.137272471682025,7.137272471682025,7.137272471682025,7.137272471682025,2,0.0,0.0,Low,2,2,72.9,72.9
