molecule_chembl_id,number_of_measurements
CHEMBL1824041,2
CHEMBL1916542,2
CHEMBL1927163,2
CHEMBL1950351,2
CHEMBL1957287,2
CHEMBL2022496,2
CHEMBL2022497,2
CHEMBL2022499,2
CHEMBL2022733,2
CHEMBL2041193,2
CHEMBL2041933,2
CHEMBL2058833,2
CHEMBL2069502,2
CHEMBL2078876,2
CHEMBL209821,2
CHEMBL210537,2
CHEMBL214323,2
CHEMBL214629,2
CHEMBL2146757,2
CHEMBL2146851,2
CHEMBL2146870,2
CHEMBL2146871,2
CHEMBL2146872,2
CHEMBL2146873,2
CHEMBL2146876,2
CHEMBL2151164,2
CHEMBL2165064,2
CHEMBL218974,2
CHEMBL2207500,2
CHEMBL2207501,2
CHEMBL2207658,2
CHEMBL2207663,2
CHEMBL2325697,2
CHEMBL237119,2
CHEMBL237336,2
CHEMBL2382287,2
CHEMBL2382343,2
CHEMBL2382345,2
CHEMBL2407174,2
CHEMBL2426288,2
CHEMBL2426677,2
CHEMBL250125,2
CHEMBL250689,2
CHEMBL257023,2
CHEMBL272150,2
CHEMBL3120274,2
CHEMBL3128178,2
CHEMBL3217922,2
CHEMBL3217923,2
CHEMBL3217925,2
CHEMBL3218816,2
CHEMBL3221493,2
CHEMBL3221496,2
CHEMBL3221502,2
CHEMBL3260567,2
CHEMBL3262624,2
CHEMBL3262896,2
CHEMBL3289440,2
CHEMBL3301607,2
CHEMBL3318989,2
CHEMBL3353406,2
CHEMBL3353407,2
CHEMBL3353408,2
CHEMBL3353409,2
CHEMBL3355639,2
CHEMBL3415610,2
CHEMBL3422009,2
CHEMBL3422010,2
CHEMBL3593771,2
CHEMBL3604734,2
CHEMBL3608684,2
CHEMBL3650825,2
CHEMBL3650827,2
CHEMBL3650830,2
CHEMBL3650831,2
CHEMBL3650834,2
CHEMBL3650838,2
CHEMBL3650845,2
CHEMBL3650848,2
CHEMBL3650850,2
CHEMBL3650851,2
CHEMBL3663684,2
CHEMBL3664031,2
CHEMBL3675746,2
CHEMBL3703220,2
CHEMBL3703237,2
CHEMBL3703255,2
CHEMBL3703258,2
CHEMBL3703259,2
CHEMBL3703260,2
CHEMBL3703261,2
CHEMBL3703262,2
CHEMBL3703263,2
CHEMBL3703264,2
CHEMBL3703265,2
CHEMBL3703266,2
CHEMBL3703268,2
CHEMBL3703271,2
CHEMBL3703285,2
CHEMBL3703289,2
CHEMBL3703295,2
CHEMBL3703298,2
CHEMBL3703299,2
CHEMBL3703300,2
CHEMBL3703301,2
CHEMBL3703304,2
CHEMBL3754515,2
CHEMBL377566,2
CHEMBL3793380,2
CHEMBL3827961,2
CHEMBL3828585,2
CHEMBL384400,2
CHEMBL3933749,2
CHEMBL393718,2
CHEMBL3967984,2
CHEMBL3973534,2
CHEMBL3983509,2
CHEMBL401895,2
CHEMBL4066553,2
CHEMBL4069395,2
CHEMBL4076061,2
CHEMBL4098822,2
CHEMBL4099807,2
CHEMBL4100435,2
CHEMBL4102566,2
CHEMBL4107016,2
CHEMBL4107668,2
CHEMBL4107759,2
CHEMBL4107878,2
CHEMBL4110584,2
CHEMBL4110737,2
CHEMBL4112613,2
CHEMBL4114218,2
CHEMBL4114258,2
CHEMBL4174323,2
CHEMBL4280558,2
CHEMBL4283367,2
CHEMBL4288439,2
CHEMBL4290141,2
CHEMBL4290774,2
CHEMBL4297310,2
CHEMBL4439006,2
CHEMBL4483673,2
CHEMBL4529465,2
CHEMBL453654,2
CHEMBL453893,2
CHEMBL453894,2
CHEMBL4541206,2
CHEMBL454642,2
CHEMBL454879,2
CHEMBL455681,2
CHEMBL4594376,2
CHEMBL4632807,2
CHEMBL4634867,2
CHEMBL4635900,2
CHEMBL468397,2
CHEMBL4741793,2
CHEMBL4755698,2
CHEMBL476106,2
CHEMBL4762625,2
CHEMBL476322,2
CHEMBL476723,2
CHEMBL476954,2
CHEMBL477363,2
CHEMBL477364,2
CHEMBL478615,2
CHEMBL478616,2
CHEMBL479036,2
CHEMBL479241,2
CHEMBL479242,2
CHEMBL479252,2
CHEMBL4796370,2
CHEMBL487059,2
CHEMBL487060,2
CHEMBL487064,2
CHEMBL487230,2
CHEMBL4873479,2
CHEMBL4875851,2
CHEMBL488248,2
CHEMBL488249,2
CHEMBL488251,2
CHEMBL488294,2
CHEMBL488295,2
CHEMBL494462,2
CHEMBL497999,2
CHEMBL498260,2
CHEMBL5083403,2
CHEMBL5085562,2
CHEMBL508712,2
CHEMBL512351,2
CHEMBL515004,2
CHEMBL518431,2
CHEMBL519067,2
CHEMBL5197101,2
CHEMBL521851,2
CHEMBL5273140,2
CHEMBL5282336,2
CHEMBL5400665,2
CHEMBL541435,2
CHEMBL5430344,2
CHEMBL549433,2
CHEMBL549438,2
CHEMBL549639,2
CHEMBL550050,2
CHEMBL550393,2
CHEMBL550517,2
CHEMBL551927,2
CHEMBL554693,2
CHEMBL554738,2
CHEMBL555744,2
CHEMBL556100,2
CHEMBL556496,2
CHEMBL556506,2
CHEMBL557110,2
CHEMBL557718,2
CHEMBL557853,2
CHEMBL558058,2
CHEMBL55826,2
CHEMBL559873,2
CHEMBL560270,2
CHEMBL560386,2
CHEMBL560863,2
CHEMBL560923,2
CHEMBL561128,2
CHEMBL561324,2
CHEMBL561326,2
CHEMBL562464,2
CHEMBL562722,2
CHEMBL562833,2
CHEMBL562836,2
CHEMBL562870,2
CHEMBL562948,2
CHEMBL563274,2
CHEMBL563435,2
CHEMBL563563,2
CHEMBL563580,2
CHEMBL563635,2
CHEMBL563779,2
CHEMBL563860,2
CHEMBL563926,2
CHEMBL564514,2
CHEMBL564930,2
CHEMBL564948,2
CHEMBL565007,2
CHEMBL565075,2
CHEMBL570033,2
CHEMBL571389,2
CHEMBL5742311,2
CHEMBL5745081,2
CHEMBL5746192,2
CHEMBL5749720,2
CHEMBL5753096,2
CHEMBL5755454,2
CHEMBL5757923,2
CHEMBL5763605,2
CHEMBL5764399,2
CHEMBL5765415,2
CHEMBL5765871,2
CHEMBL5769554,2
CHEMBL5770484,2
CHEMBL5771198,2
CHEMBL5771854,2
CHEMBL5778585,2
CHEMBL5778781,2
CHEMBL5783150,2
CHEMBL5784006,2
CHEMBL5786654,2
CHEMBL5790288,2
CHEMBL5792092,2
CHEMBL5794270,2
CHEMBL5795063,2
CHEMBL5798112,2
CHEMBL5804405,2
CHEMBL5804885,2
CHEMBL5808148,2
CHEMBL5808304,2
CHEMBL5808945,2
CHEMBL5818494,2
CHEMBL5823395,2
CHEMBL5825577,2
CHEMBL5829328,2
CHEMBL5834447,2
CHEMBL5838864,2
CHEMBL5839468,2
CHEMBL5840390,2
CHEMBL5853493,2
CHEMBL5857118,2
CHEMBL5858906,2
CHEMBL5863797,2
CHEMBL5871384,2
CHEMBL5875561,2
CHEMBL5877886,2
CHEMBL5878770,2
CHEMBL5888883,2
CHEMBL5892891,2
CHEMBL5893534,2
CHEMBL5893563,2
CHEMBL5893587,2
CHEMBL5893677,2
CHEMBL5898921,2
CHEMBL5904342,2
CHEMBL5905884,2
CHEMBL590791,2
CHEMBL5908489,2
CHEMBL5909140,2
CHEMBL5909487,2
CHEMBL5912187,2
CHEMBL5922918,2
CHEMBL5925044,2
CHEMBL5934000,2
CHEMBL5939964,2
CHEMBL5941301,2
CHEMBL5951589,2
CHEMBL5956282,2
CHEMBL5960420,2
CHEMBL5961333,2
CHEMBL5961464,2
CHEMBL5962619,2
CHEMBL5964323,2
CHEMBL5965398,2
CHEMBL5965720,2
CHEMBL5968571,2
CHEMBL5969195,2
CHEMBL5969819,2
CHEMBL5969915,2
CHEMBL5971419,2
CHEMBL5971806,2
CHEMBL597241,2
CHEMBL5974311,2
CHEMBL5974489,2
CHEMBL5974828,2
CHEMBL5976049,2
CHEMBL5978181,2
CHEMBL5978414,2
CHEMBL598194,2
CHEMBL5983773,2
CHEMBL5986147,2
CHEMBL5987086,2
CHEMBL5989582,2
CHEMBL5990369,2
CHEMBL5991109,2
CHEMBL6000305,2
CHEMBL6000376,2
CHEMBL6004953,2
CHEMBL6006629,2
CHEMBL6008481,2
CHEMBL6009948,2
CHEMBL6010490,2
CHEMBL6014639,2
CHEMBL6021933,2
CHEMBL6024609,2
CHEMBL6026134,2
CHEMBL6027892,2
CHEMBL6028836,2
CHEMBL603052,2
CHEMBL6033368,2
CHEMBL6034751,2
