molecule_chembl_id,number_of_measurements,mean_pIC50,median_pIC50,min_pIC50,max_pIC50,std_pIC50,mean_IC50_nM,min_IC50_nM,max_IC50_nM,unique_assays,unique_documents,unique_SMILES,pIC50_range,variability,multiple_assays,multiple_documents,multiple_SMILES
CHEMBL3703258,2,5.458420756053419,5.458420756053419,5.458420756053419,5.458420756053419,0.0,3480.0,3480.0,3480.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703259,2,5.235823867609669,5.235823867609669,5.235823867609669,5.235823867609669,0.0,5810.0,5810.0,5810.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703260,2,5.161150909262744,5.161150909262744,5.161150909262744,5.161150909262744,0.0,6900.0,6900.0,6900.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703261,2,5.555955204081924,5.555955204081924,5.555955204081924,5.555955204081924,0.0,2780.0,2780.0,2780.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703262,2,5.035269078946371,5.035269078946371,5.035269078946371,5.035269078946371,0.0,9220.0,9220.0,9220.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703263,2,5.3535962737769305,5.3535962737769305,5.3535962737769305,5.3535962737769305,0.0,4430.0,4430.0,4430.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703264,2,5.348721986001856,5.348721986001856,5.348721986001856,5.348721986001856,0.0,4480.0,4480.0,4480.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703265,2,5.777283528852417,5.777283528852417,5.777283528852417,5.777283528852417,0.0,1670.0,1670.0,1670.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703266,2,5.010105436281227,5.010105436281227,5.010105436281227,5.010105436281227,0.0,9770.0,9770.0,9770.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703268,2,5.2182446253475305,5.2182446253475305,5.2182446253475305,5.2182446253475305,0.0,6050.0,6050.0,6050.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703271,2,5.0851281824599495,5.0851281824599495,5.0851281824599495,5.0851281824599495,0.0,8220.0,8220.0,8220.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703285,2,5.100179497572904,5.100179497572904,5.100179497572904,5.100179497572904,0.0,7940.0,7940.0,7940.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703289,2,5.272458742971444,5.272458742971444,5.272458742971444,5.272458742971444,0.0,5340.0,5340.0,5340.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703295,2,5.277366077466188,5.277366077466188,5.277366077466188,5.277366077466188,0.0,5280.0,5280.0,5280.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703298,2,5.488116639021126,5.488116639021126,5.488116639021126,5.488116639021126,0.0,3250.0,3250.0,3250.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703299,2,5.102372908709558,5.102372908709558,5.102372908709558,5.102372908709558,0.0,7900.0,7900.0,7900.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703300,2,5.2403321553103694,5.2403321553103694,5.2403321553103694,5.2403321553103694,0.0,5750.0,5750.0,5750.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703301,2,5.536107011014092,5.536107011014092,5.536107011014092,5.536107011014092,0.0,2910.0,2910.0,2910.0,2,2,1,0.0,Low,True,True,False
CHEMBL3703304,2,5.364516253185088,5.364516253185088,5.364516253185088,5.364516253185088,0.0,4320.0,4320.0,4320.0,2,2,1,0.0,Low,True,True,False
CHEMBL3754515,2,5.7447274948966935,5.7447274948966935,5.7447274948966935,5.7447274948966935,0.0,1800.0,1800.0,1800.0,2,2,1,0.0,Low,True,True,False
CHEMBL377566,2,4.714442690992226,4.714442690992226,4.714442690992226,4.714442690992226,0.0,19300.0,19300.0,19300.0,2,2,1,0.0,Low,True,True,False
CHEMBL3793380,2,4.2839966563652006,4.2839966563652006,4.2839966563652006,4.2839966563652006,0.0,52000.0,52000.0,52000.0,2,1,1,0.0,Low,True,False,False
CHEMBL3827961,2,5.494850021680094,5.494850021680094,5.494850021680094,5.494850021680094,0.0,3200.0,3200.0,3200.0,2,2,1,0.0,Low,True,True,False
CHEMBL3828585,2,5.853871964321762,5.853871964321762,5.853871964321762,5.853871964321762,0.0,1400.0,1400.0,1400.0,2,2,1,0.0,Low,True,True,False
CHEMBL384400,2,5.481486060122112,5.481486060122112,5.481486060122112,5.481486060122112,0.0,3300.0,3300.0,3300.0,2,2,1,0.0,Low,True,True,False
CHEMBL3933749,2,4.692503962086787,4.692503962086787,4.692503962086787,4.692503962086787,0.0,20300.0,20300.0,20300.0,2,2,1,0.0,Low,True,True,False
